source,flow_m3_per_day,size_PE,ch4_kg_per_hr,has_ad,reported_biogas_production,biogas_production_kgCH4_per_hr,biogas_measured_num,calculated_biogas_production_kgCH4_per_hr,biogas_production_used_kgCH4_per_hr,production_normalized_CH4_percent,data_availability
"Moore et al., 2023",18927.05892,,7.2,yes,no,,,27.99503050314025,27.99503050314025,0.25718850348072897,Biogas production interpolated from flow
"Moore et al., 2023",28390.58838,,38.52,yes,no,,,41.99254575471038,41.99254575471038,0.9173056624146,Biogas production interpolated from flow
"Moore et al., 2023",28390.58838,,90.36,yes,no,,,41.99254575471038,41.99254575471038,2.151810479122099,Biogas production interpolated from flow
"Moore et al., 2023",186999.3421296,,112.68,yes,no,,,276.59090137102567,276.59090137102567,0.4073886720114786,Biogas production interpolated from flow
"Moore et al., 2023",186999.3421296,,99.72,yes,no,,,276.59090137102567,276.59090137102567,0.3605324669238964,Biogas production interpolated from flow
"Moore et al., 2023",43532.235516,,7.56,yes,no,,,64.38857015722257,64.38857015722257,0.11741214289337627,Biogas production interpolated from flow
"Moore et al., 2023",43532.235516,,19.08,yes,no,,,64.38857015722257,64.38857015722257,0.2963258844451877,Biogas production interpolated from flow
"Moore et al., 2023",43532.235516,,14.76,yes,no,,,64.38857015722257,64.38857015722257,0.22923323136325843,Biogas production interpolated from flow
"Moore et al., 2023",43532.235516,,11.52,yes,no,,,64.38857015722257,64.38857015722257,0.17891374155181144,Biogas production interpolated from flow
"Moore et al., 2023",43532.235516,,20.88,yes,no,,,64.38857015722257,64.38857015722257,0.32428115656265827,Biogas production interpolated from flow
"Moore et al., 2023",638598.9679608,,269.28,yes,no,,,944.5523291759522,944.5523291759522,0.2850874342080397,Biogas production interpolated from flow
"Moore et al., 2023",299804.61329280003,,69.48,yes,no,,,443.4412831697416,443.4412831697416,0.15668365268870166,Biogas production interpolated from flow
"Moore et al., 2023",299804.61329280003,,41.04,yes,no,,,443.4412831697416,443.4412831697416,0.09254889329798958,Biogas production interpolated from flow
"Moore et al., 2023",676074.5446224001,,239.04,yes,no,,,999.9824895721699,999.9824895721699,0.23904418576596304,Biogas production interpolated from flow
"Moore et al., 2023",676074.5446224001,,132.12,yes,no,,,999.9824895721699,999.9824895721699,0.1321223135182356,Biogas production interpolated from flow
"Moore et al., 2023",676074.5446224001,,161.28,yes,no,,,999.9824895721699,999.9824895721699,0.1612828241312522,Biogas production interpolated from flow
"Moore et al., 2023",20441.2236336,,7.56,yes,no,,,30.23463294339147,30.23463294339147,0.25004437838404203,Biogas production interpolated from flow
"Moore et al., 2023",40125.3649104,,38.88,yes,no,,,59.34946466665733,59.34946466665733,0.6551027918848757,Biogas production interpolated from flow
"Moore et al., 2023",40125.3649104,,73.44,yes,no,,,59.34946466665733,59.34946466665733,1.2374163846714317,Biogas production interpolated from flow
"Moore et al., 2023",13627.4824224,,0.864,yes,no,,,20.156421962260982,20.156421962260982,0.04286475058012149,Biogas production interpolated from flow
"Moore et al., 2023",76465.3180368,,15.48,yes,no,,,113.09992323268662,113.09992323268662,0.13687011942662555,Biogas production interpolated from flow
"Moore et al., 2023",76465.3180368,,34.56,yes,no,,,113.09992323268662,113.09992323268662,0.3055704991850245,Biogas production interpolated from flow
"Moore et al., 2023",6435.2000328,,0.432,yes,no,,,9.518310371067686,9.518310371067686,0.045386206496599225,Biogas production interpolated from flow
"Moore et al., 2023",6056.658854400001,,1.548,yes,no,,,8.958409761004882,8.958409761004882,0.17279852577611474,Biogas production interpolated from flow
"Moore et al., 2023",731341.5566688001,,54.0,yes,no,,,1081.7279786413394,1081.7279786413394,0.049920128781197386,Biogas production interpolated from flow
"Moore et al., 2023",304725.648612,,178.56,yes,no,,,450.71999110055805,450.71999110055805,0.3961661420075825,Biogas production interpolated from flow
"Moore et al., 2023",190406.2127352,,194.76,yes,no,,,281.63000686159097,281.63000686159097,0.6915456281464928,Biogas production interpolated from flow
"Moore et al., 2023",107505.6946656,,54.36,yes,no,,,159.0117732578366,159.0117732578366,0.34186147909850423,Biogas production interpolated from flow
"Moore et al., 2023",107505.6946656,,31.680000000000003,yes,no,,,159.0117732578366,159.0117732578366,0.19923053086535347,Biogas production interpolated from flow
"Moore et al., 2023",41639.529624,,1.4400000000000002,yes,no,,,61.58906710690856,61.58906710690856,0.023380773043702632,Biogas production interpolated from flow
"Moore et al., 2023",361128.2841936,,25.56,yes,no,,,534.145181999916,534.145181999916,0.04785215866648783,Biogas production interpolated from flow
"Moore et al., 2023",643.52000328,,0.036,yes,no,,,0.9518310371067685,0.9518310371067685,0.03782183874716602,Biogas production interpolated from flow
"Moore et al., 2023",3785.411784,,0.252,yes,no,,,5.59900610062805,5.59900610062805,0.045007988109127574,Biogas production interpolated from flow
"Moore et al., 2023",14763.1059576,,12.96,yes,no,,,21.836123792449396,21.836123792449396,0.5935119311093746,Biogas production interpolated from flow
"Moore et al., 2023",14763.1059576,,5.04,yes,no,,,21.836123792449396,21.836123792449396,0.23081019543142342,Biogas production interpolated from flow
"Moore et al., 2023",107505.6946656,,48.24,yes,no,,,159.0117732578366,159.0117732578366,0.3033737629086064,Biogas production interpolated from flow
"Moore et al., 2023",107505.6946656,,18.36,yes,no,,,159.0117732578366,159.0117732578366,0.11546314856969347,Biogas production interpolated from flow
"Moore et al., 2023",4921.0353192,,2.952,yes,no,,,7.2787079308164655,7.2787079308164655,0.40556648625807257,Biogas production interpolated from flow
"Moore et al., 2023",2574.08001312,,2.8440000000000003,yes,no,,,3.807324148427074,3.807324148427074,0.7469813152565291,Biogas production interpolated from flow
"Moore et al., 2023",2574.08001312,,0.684,yes,no,,,3.807324148427074,3.807324148427074,0.17965373404903864,Biogas production interpolated from flow
"Moore et al., 2023",214254.3069744,,81.0,yes,no,,,316.90374529554765,316.90374529554765,0.2555981152083216,Biogas production interpolated from flow
"Moore et al., 2023",26876.4236664,,10.8,yes,no,,,39.75294331445915,39.75294331445915,0.27167799663457287,Biogas production interpolated from flow
"Moore et al., 2025",984.20706384,,0.1877447171317771,yes,no,,,1.4557415861632932,1.4557415861632932,0.12896843706072256,Biogas production interpolated from flow
"Moore et al., 2025",146873.9772192,,98.01920849892625,yes,no,,,217.24143670436834,217.24143670436834,0.4511994119810351,Biogas production interpolated from flow
"Moore et al., 2025",19484.77625617599,,25.02676774999204,yes,no,,,28.819950735299432,28.819950735299432,0.8683834327079053,Biogas production interpolated from flow
